UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 Nov05 ?        00:05:01 /sbin/init splash
root           2       0  0 Nov05 ?        00:00:00 [kthreadd]
root           3       2  0 Nov05 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 Nov05 ?        00:00:00 [kworker/R-rcu_g]
root           5       2  0 Nov05 ?        00:00:00 [kworker/R-rcu_p]
root           6       2  0 Nov05 ?        00:00:00 [kworker/R-slub_]
root           7       2  0 Nov05 ?        00:00:00 [kworker/R-netns]
root          10       2  0 Nov05 ?        00:00:00 [kworker/0:0H-events_highpri]
root          12       2  0 Nov05 ?        00:00:00 [kworker/R-mm_pe]
root          13       2  0 Nov05 ?        00:00:00 [rcu_tasks_kthread]
root          14       2  0 Nov05 ?        00:00:00 [rcu_tasks_rude_kthread]
root          15       2  0 Nov05 ?        00:00:00 [rcu_tasks_trace_kthread]
root          16       2  0 Nov05 ?        00:01:39 [ksoftirqd/0]
root          17       2  0 Nov05 ?        00:09:49 [rcu_preempt]
root          18       2  0 Nov05 ?        00:00:22 [migration/0]
root          19       2  0 Nov05 ?        00:00:00 [idle_inject/0]
root          20       2  0 Nov05 ?        00:00:00 [cpuhp/0]
root          21       2  0 Nov05 ?        00:00:00 [cpuhp/1]
root          22       2  0 Nov05 ?        00:00:00 [idle_inject/1]
root          23       2  0 Nov05 ?        00:00:22 [migration/1]
root          24       2  0 Nov05 ?        00:01:39 [ksoftirqd/1]
root          26       2  0 Nov05 ?        00:00:00 [kworker/1:0H-events_highpri]
root          29       2  0 Nov05 ?        00:00:00 [kdevtmpfs]
root          30       2  0 Nov05 ?        00:00:00 [kworker/R-inet_]
root          31       2  0 Nov05 ?        00:00:00 [kauditd]
root          32       2  0 Nov05 ?        00:00:05 [khungtaskd]
root          33       2  0 Nov05 ?        00:00:00 [oom_reaper]
root          35       2  0 Nov05 ?        00:00:00 [kworker/R-write]
root          37       2  0 Nov05 ?        00:02:49 [kcompactd0]
root          38       2  0 Nov05 ?        00:00:00 [ksmd]
root          40       2  0 Nov05 ?        00:00:00 [khugepaged]
root          41       2  0 Nov05 ?        00:00:00 [kworker/R-kinte]
root          42       2  0 Nov05 ?        00:00:00 [kworker/R-kbloc]
root          43       2  0 Nov05 ?        00:00:00 [kworker/R-blkcg]
root          44       2  0 Nov05 ?        00:00:00 [irq/9-acpi]
root          45       2  0 Nov05 ?        00:00:00 [kworker/R-tpm_d]
root          46       2  0 Nov05 ?        00:00:00 [kworker/R-ata_s]
root          47       2  0 Nov05 ?        00:00:00 [kworker/R-md]
root          48       2  0 Nov05 ?        00:00:00 [kworker/R-md_bi]
root          49       2  0 Nov05 ?        00:00:00 [kworker/R-edac-]
root          50       2  0 Nov05 ?        00:00:00 [kworker/R-devfr]
root          51       2  0 Nov05 ?        00:00:00 [watchdogd]
root          53       2  0 Nov05 ?        00:02:56 [kworker/1:1H-kblockd]
root          54       2  0 Nov05 ?        05:48:45 [kswapd0]
root          55       2  0 Nov05 ?        00:00:00 [ecryptfs-kthread]
root          56       2  0 Nov05 ?        00:00:00 [kworker/R-kthro]
root          57       2  0 Nov05 ?        00:00:00 [kworker/R-acpi_]
root          58       2  0 Nov05 ?        00:00:00 [scsi_eh_0]
root          59       2  0 Nov05 ?        00:00:00 [kworker/R-scsi_]
root          60       2  0 Nov05 ?        00:00:00 [scsi_eh_1]
root          61       2  0 Nov05 ?        00:00:00 [kworker/R-scsi_]
root          62       2  0 Nov05 ?        00:00:00 [scsi_eh_2]
root          63       2  0 Nov05 ?        00:00:00 [kworker/R-scsi_]
root          68       2  0 Nov05 ?        00:00:00 [kworker/R-mld]
root          69       2  0 Nov05 ?        00:02:57 [kworker/0:1H-kblockd]
root          70       2  0 Nov05 ?        00:00:00 [kworker/R-ipv6_]
root          78       2  0 Nov05 ?        00:00:00 [kworker/R-kstrp]
root          80       2  0 Nov05 ?        00:00:00 [kworker/u7:0]
root          81       2  0 Nov05 ?        00:00:00 [kworker/u8:0]
root          82       2  0 Nov05 ?        00:00:00 [kworker/u9:0]
root          95       2  0 Nov05 ?        00:00:00 [kworker/R-charg]
root         139       2  0 Nov05 ?        00:00:08 [kworker/u4:1-ext4-rsv-conversion]
root         183       2  0 Nov05 ?        00:01:05 [jbd2/sda3-8]
root         184       2  0 Nov05 ?        00:00:00 [kworker/R-ext4-]
root         223       1  0 Nov05 ?        00:01:32 /lib/systemd/systemd-journald
root         271       1  0 Nov05 ?        00:00:07 /lib/systemd/systemd-udevd
root         299       2  0 Nov05 ?        00:00:00 [kworker/R-crypt]
root         301       2  0 Nov05 ?        00:00:00 [kworker/R-ttm]
systemd+     425       1  0 Nov05 ?        01:41:54 /lib/systemd/systemd-oomd
systemd+     428       1  0 Nov05 ?        00:04:19 /lib/systemd/systemd-resolved
systemd+     429       1  0 Nov05 ?        00:00:07 /lib/systemd/systemd-timesyncd
root         468       1  0 Nov05 ?        00:01:18 /usr/libexec/accounts-daemon
root         469       1  0 Nov05 ?        00:00:00 /usr/sbin/acpid
avahi        472       1  0 Nov05 ?        00:33:39 avahi-daemon: running [ubuntu-27.local]
root         473       1  0 Nov05 ?        00:00:11 /usr/sbin/cron -f -P
message+     475       1  0 Nov05 ?        00:01:01 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         476       1  0 Nov05 ?        00:14:49 /usr/sbin/NetworkManager --no-daemon
root         483       1  0 Nov05 ?        00:02:43 /usr/sbin/irqbalance --foreground
root         485       1  0 Nov05 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         487       1  0 Nov05 ?        00:00:01 /usr/libexec/polkitd --no-debug
root         489       1  0 Nov05 ?        00:00:00 /usr/libexec/power-profiles-daemon
syslog       490       1  0 Nov05 ?        00:00:10 /usr/sbin/rsyslogd -n -iNONE
root         506       1  0 Nov05 ?        00:00:00 /usr/libexec/switcheroo-control
root         508       1  0 Nov05 ?        00:00:10 /lib/systemd/systemd-logind
root         511       1  0 Nov05 ?        00:00:06 /usr/libexec/udisks2/udisksd
root         512       1  0 Nov05 ?        00:00:22 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        547     472  0 Nov05 ?        00:00:00 avahi-daemon: chroot helper
root         564       1  0 Nov05 ?        00:00:00 /usr/sbin/ModemManager
champus+     567       1  0 Nov05 ?        00:00:00 /usr/bin/python3 /opt/google/chrome-remote-desktop/chrome-remote-desktop --child-process --config=/home/champuser/.config/chrome-remote-desktop/host#e1562f1a3ee32dacbf4523fe419e796c.json --start
root         596       1  0 Nov05 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root         603       1  0 Nov05 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         624       1  0 Nov05 ?        00:00:00 /usr/sbin/gdm3
champus+     626       1  0 Nov05 ?        00:00:03 /lib/systemd/systemd --user
champus+     634     626  0 Nov05 ?        00:00:00 (sd-pam)
root         635     624  0 Nov05 ?        00:00:00 gdm-session-worker [pam/gdm-launch-environment]
gdm          657       1  0 Nov05 ?        00:00:00 /lib/systemd/systemd --user
gdm          663     657  0 Nov05 ?        00:00:00 (sd-pam)
champus+     683     626  0 Nov05 ?        00:00:00 /usr/bin/pipewire
champus+     684     626  0 Nov05 ?        00:00:00 /usr/bin/pipewire-media-session
champus+     685     626  0 Nov05 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
champus+     689     567  0 Nov05 ?        00:00:00 (sd-pam)
rtkit        696       1  0 Nov05 ?        00:00:39 /usr/libexec/rtkit-daemon
gdm          706     657  0 Nov05 ?        00:00:00 /usr/bin/pipewire
gdm          707     657  0 Nov05 ?        00:00:00 /usr/bin/pipewire-media-session
gdm          708     657  0 Nov05 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
champus+     711     626  0 Nov05 ?        00:00:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gdm          717     635  0 Nov05 tty1     00:00:00 /usr/libexec/gdm-x-session dbus-run-session -- gnome-session --autostart /usr/share/gdm/greeter/autostart
gdm          719     717  0 Nov05 tty1     00:00:18 /usr/lib/xorg/Xorg vt1 -displayfd 3 -auth /run/user/128/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
gdm          724     657  0 Nov05 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
champus+     747     567  0 Nov05 ?        00:12:00 Xvfb :20 -auth /home/champuser/.Xauthority -nolisten tcp -noreset -screen 0 3840x2560x24
gdm          771     657  0 Nov05 ?        00:00:00 /usr/libexec/xdg-document-portal
champus+     772     626  0 Nov05 ?        00:00:00 /usr/libexec/xdg-document-portal
champus+     777     626  0 Nov05 ?        00:00:00 /usr/libexec/xdg-permission-store
gdm          778     657  0 Nov05 ?        00:00:00 /usr/libexec/xdg-permission-store
root         789     771  0 Nov05 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/128/doc
root         793     772  0 Nov05 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
gdm          810     717  0 Nov05 tty1     00:00:00 dbus-run-session -- gnome-session --autostart /usr/share/gdm/greeter/autostart
gdm          811     810  0 Nov05 tty1     00:00:00 dbus-daemon --nofork --print-address 4 --session
gdm          812     810  0 Nov05 tty1     00:00:00 /usr/libexec/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
champus+     832     567  0 Nov05 ?        00:00:00 /usr/libexec/gnome-session-binary
champus+     834     567  0 Nov05 ?        01:19:02 /opt/google/chrome-remote-desktop/chrome-remote-desktop-host --host-config=- --audio-pipe-name=/run/user/1000/crd_audio#xhttLX9NcZ/fifo_output --ssh-auth-sockname=/tmp/chromoting.champuser.ssh_auth_sock --signal-parent
champus+     850       1  0 Nov05 ?        00:00:01 /opt/google/chrome-remote-desktop/crashpad-handler --monitor-self-annotation=ptype=crashpad-handler --database=/home/champuser/.config/chrome-remote-desktop/crashpad --url=https://clients2.google.com/cr/report --annotation=plat=Linux --annotation=prod=Chromoting_Linux --annotation=ver=141.0.7390.24 --initial-client-fd=4 --shared-client-connection
champus+     852       1  0 Nov05 ?        00:00:01 /opt/google/chrome-remote-desktop/crashpad-handler --monitor-self-annotation=ptype=crashpad-handler --database=/home/champuser/.config/chrome-remote-desktop/crashpad --url=https://clients2.google.com/cr/report --annotation=plat=Linux --annotation=prod=Chromoting_Linux --annotation=ver=141.0.7390.24 --initial-client-fd=4 --shared-client-connection
gdm          858       1  0 Nov05 tty1     00:00:00 /usr/libexec/at-spi-bus-launcher
gdm          882     858  0 Nov05 tty1     00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/128/at-spi/bus_0
champus+     917     626  0 Nov05 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
champus+     929     917  0 Nov05 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
champus+     950     626  0 Nov05 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
champus+     952     626  0 Nov05 ?        00:00:00 /usr/libexec/gvfsd
champus+     967     626  0 Nov05 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
gdm          977     812  0 Nov05 tty1     00:20:09 /usr/bin/gnome-shell
gdm         1042       1  0 Nov05 tty1     00:00:00 /usr/libexec/xdg-permission-store
root        1048       1  0 Nov05 ?        00:00:00 /usr/libexec/upowerd
